Rank,Team Name,Score
"236","Snowflake","288"
"237","TRYH4RD3R","285"
"238","CaptaineBigleux","284"
"239","Team Spectra","280"
"240","jaikanthjay46","280"
"241","onkarkunjir8@gmail.com","280"
"242","Born2Hack","280"
"243","FollowThePepega","278"
"244","Dualkem","278"
"245","ALWAYSWANNADIE","275"
"246","Polaris One","275"
"247","Void","275"
"248","0x1337","270"
"249","dmssm","270"
"250","exitzero","270"
"251","PTK","268"
"252","fzhshzh","265"
"253","Wedon'tknowwhattodoherebutwetryanyway","265"
"254","elitesolo","260"
"255","theadventsquad","260"
"256","L10n5","260"
"257","R0GU3_H4CK","260"
"258","HelloUU","259"
"259","PwnaSonic","255"
"260","PastaKings","255"
"261","clevrcode2","253"
"262","something clever","250"
"263","memyself&I","250"
"264","0x000f","250"
"265","OwO","250"
"266","killswitch","250"
"267","Plebs","248"
"268","T34M1","248"
"269","BaikalCTF","246"
"270","aryabhat","246"
"271","Exodius","245"
"272","HypaSec","245"
"273","base64","245"
"274","COVIDNINETEAM","245"
"275","dagegen","245"
"276","pikostone","245"
"277","RmonSec","245"
"278","KogCoder","245"
"279","0d12245589","244"
"280","0x_","243"
"281","Debily","240"
"282","Bhole_ki_toli","240"
"283","Kaczuszki","240"
"284","newbie","238"
"285","OverDover","236"
"286","PizzaPunks","235"
"287","p1r4t3d","235"
"288","Quantum9","235"
"289","NOOBS_OP","234"
"290","exntrc","233"
"291","RH01","230"
"292","(ง •̀ω•́)ง✧","230"
"293","5upernova","230"
"294","ad Talos","226"
"295","Team Bagel","225"
"296","0x194","225"
"297","N_K_N","225"
"298","3mp4n4d45","225"
"299","ccc","225"
"300","PTSD","221"
"301","XtraTerrets","220"
"302","RedOrBluePill","220"
"303","solOnly.rs","220"
"304","Bluehats","220"
"305","daHello","220"
"306","CInsects","219"
"307","Popiteam","219"
"308","khanki","218"
"309","soloyolo","216"
"310","SupremeOwls","215"
"311","_batch20_","215"
"312","Hackπ1000","215"
"313","l3gi0n","215"
"314","xianyu","214"
"315","Poison Berries","212"
"316","TurtleClub","212"
"317","nekonyaa","212"
"318","Trial&Error","211"
"319","not_competing_","210"
"320","lonleybois","210"
"321","polarity_express","210"
"322","Em0t3t","210"
"323","Monk Mode","208"
"324","P3Ng_G0_D4M","206"
"325","XYZ-default","205"
"326","maurice","205"
"327","Isec-U.O","205"
"328","Mastered","204"
"329","Jingle Bell ROP","203"
"330","z3ro","201"
"331","0xTBD","200"
"332","Alcoh0L Forc3","200"
"333","dd","200"
"334","roooookie","198"
"335","Neme$is","197"
"336","p4n1c","192"
"337","foochocobar","190"
"338","BackMoon","190"
"339","NCTOP","190"
"340","ma1a","190"
"341","null","190"
"342","REJLWQ","189"
"343","KXTI_1234","189"
"344","vitamin_water","188"
"345","ACID","188"
"346","rop2root","188"
"347","back2black","186"
"348","mikejam","185"
"349","arvindpunk","185"
"350","SummerJedi","185"
"351","Lornz","184"
"352","JustM3","183"
"353","vanta","183"
"354","P1R4t35 0f W3b","182"
"355","kvubu","180"
"356","Bot","180"
"357","UY","180"
"358","Osint-fr","180"
"359","echo","179"
"360","paooaq","178"
"361","meerkats","178"
"362","Captainswithcomputers","178"
"363","uwu_s0w3ak","178"
"364","Neya","175"
"365","pcback","170"
"366","PSA Boyz","170"
"367","erengnenx","170"
"368","Flaggermeister","170"
"369","conlea@rpi.edu","170"
"370","h4ck7u5","170"
"371","Mags","168"
"372","hackstreetboys","165"
"373","DARKLYGHT","165"
"374","AnythingReally","165"
"375","z3bra","165"
"376","DickLickley","165"
"377","goingfast","165"
"378","Zappers","165"
"379","Дагестанские Москвичи","165"
"380","VHF","160"
"381","Just me","160"
"382","Jongko_JoyoBoyo","160"
"383","theteam","160"
"384","gruf","160"
"385","Njörd","159"
"386","Reu","158"
"387","webXrip","158"
"388","asd","157"
"389","kailey","156"
"390","FenbeesTM","155"
"391","profdracula","152"
"392","Stringsme","150"
"393","NorthWest","150"
"394","dU0nymU05","150"
"395","Ja i Maciej","145"
"396","shikata","145"
"397","trtd","145"
"398","Random Walk","145"
"399","meme","145"
"400","admin_rh","145"
"401","Honeybot","142"
"402","nushmallows_burdenbear","141"
"403","Don't move","140"
"404","ru7ynk4","140"
"405","F1ndingN3m0","140"
"406","LinyTail","135"
"407","CHAOS SQUAD","135"
"408","CaesarEG","135"
"409","tadaaa","135"
"410","CSECgrouP","134"
"411","f41k","133"
"412","Digital Dragons","133"
"413","jxswcy","131"
"414","L4c3fer","131"
"415","test12358","131"
"416","Wanna.One","130"
"417","solitary","130"
"418","DU4L_S1M_PR08L3M","130"
"419","King of Pawns","129"
"420","nonloso","129"
"421","int_over_flow","127"
"422","skyline","127"
"423","Expl0r3_Ev1d3nCe5","127"
"424","One of the Dummiest","126"
"425","Hail Hydra","125"
"426","HackSurYvette","125"
"427","CLS","125"
"428","toystore","123"
"429","ThePseudoAdmins","123"
"430","Team name is a compulsory part.","123"
"431","c1p@rr","120"
"432","Return to Libc","120"
"433","::1","119"
"434","LetsTry","115"
"435","the_h","114"
"436","hmmmm","114"
"437","bukan bandar","112"
"438","One_man_army","111"
"439","iwd","110"
"440","The Brainiacs","110"
"441","MezzePippe","109"
"442","bodenloserabgrund","109"
"443","Cyborg","108"
"444","EinTeam","107"
"445","medford_tridents","107"
"446","beginner1","107"
"447","the first team","106"
"448","GatorSheavesMutably","105"
"449","sevenonipepperoni@gmail.com","105"
"450","v1k1ngs","103"
"451","helloworld","101"
"452","peepohappy","100"
"453","imdarsh","100"
"454","FOOLI","100"
"455","hai","100"
"456","r4t5_","100"
"457","asdasd123","97"
"458","tashika","97"
"459","dokko","96"
"460","fd","95"
"461","fr334aks","95"
"462","the_humble_ones","95"
"463","M4tcr0ss","95"
"464","Raimon","95"
"465","K6n","95"
"466","自由公式","93"
"467","The Cybers","92"
"468","ex_c","90"
"469","Cyb3r C4tz","90"
"470","megnogg","90"
"471","K3RN3L4RMY","90"
"472","divider","90"
"473","/[spin]*s/","90"
"474","angela","90"
"475","c4","88"
"476","Ajdaha_squad","86"
"477","pecanduCTF","86"
"478","matalasama","85"
"479","ret2paradise","85"
"480","chrisbex","85"
"481","wUMrm","85"
"482","Krystal","85"
"483","admin","85"
"484","soda","84"
"485","--","84"
"486","IRonHulk","83"
"487","Afghan Pride","83"
"488","这是有bear来","83"
"489","BYT3XPL0!T","81"
"490","Intentions","80"
"491","HACKERSCHOOL@IST","80"
"492","oMy","80"
"493","hackerspace.gent","80"
"494","Just for random things","80"
"495","coffeeicecubes","80"
"496","Phantoms","80"
"497","SudowoodoDoAsWoodo","80"
"498","BVG","80"
"499","lisan","80"
"500","Cyber_Freaks","80"
"501","Liladhar","78"
"502","whc8862","77"
"503","The_Will_Of_D","75"
"504","dididi","75"
"505","Cyberholics Anonymous","75"
"506","ESCAL8","75"
"507","aa","75"
"508","Rocking Philosophers","75"
"509","CyberCat","75"
"510","CTF_Gratis_Again","75"
"511","iko","75"
"512","bl4ck4rmy","75"
"513","fasthakerman","74"
"514","Earl","73"
"515","Pand0ra","73"
"516","Haxxro","73"
"517","this_t34m_ha5_n0_nam3","70"
"518","Tamil CTF","70"
"519","TeCP","70"
"520","mtiennnnnn","70"
"521","downeeto","70"
"522","CS-GOAT","70"
"523","test","66"
"524","lonely_reverser","65"
"525","0zangra","65"
"526","Dev404","65"
"527","Hope'*'me","65"
"528","zZz","65"
"529","Pasos Sobre la Luna","65"
"530","Still DIGing","65"
"531","bubu","65"
"532","KXTI_KATA","65"
"533","privet123","65"
"534","Qeac","65"
"535","sdfasdf","65"
"536","TEAM NZT","64"
"537","lepra","63"
"538","lexs","63"
"539","Xornithologist","62"
"540","mv ~ /dev/null","61"
"541","The_Lonley_Boi","61"
"542","brit_nOise_b33r5","60"
"543","CyberYoddha","60"
"544","JustMessin'Around","60"
"545","\x90\xCC","60"
"546","ashut","60"
"547","fish","59"
"548","lix","58"
"549","L0n3w0lf","58"
"550","Primer","56"
"551","hackernelkmen","56"
"552","Iam9r00t","55"
"553","UseAfterCoffee","55"
"554","N30Z30N","55"
"555","Alladdin","50"
"556","CoJaVim","50"
"557","klee12","50"
"558","Shadowbringers","50"
"559","Pil","49"
"560","BountyXY","49"
"561","xxx1337yyy","48"
"562","alert(1)","47"
"563","digbick","47"
"564","fufu","47"
"565","Dnari","46"
"566","DegenerationB","45"
"567","ngheconn","45"
"568","N0f3@r","45"
"569","NoviceLearner","45"
"570","mayurisanass","45"
"571","QW3RTY","45"
"572","Lolqli","45"
"573","1233","44"
"574","hacktheplanet","43"
"575","gbgclt","42"
"576","Death 13","42"
"577","5Members","41"
"578","flash","41"
"579","Stas_pwn(0x7C)","40"
"580","idiots","40"
"581","ri5e","40"
"582","Wingoc","40"
"583","hfour-team","40"
"584","hanemile","40"
"585","OpAmp","40"
"586","qdtjvszxc","40"
"587","i++","40"
"588","WeWearWaistcoats","40"
"589","yarden25","40"
"590","onotch","40"
"591","W","40"
"592","flag{}___Orz","40"
"593","TIRED","38"
"594","z1ng","37"
"595","sdafasdfsadf1","36"
"596","Beans","35"
"597","Move37","35"
"598","sh1nt4","35"
"599","oleg","35"
"600","soni6","35"
"601","catasaurus","35"
"602","elitness","35"
"603","kevin","35"
"604","W3akByt3s","34"
"605","br3aking_bad","34"
"606","pp","34"
"607","TheDogz","33"
"608","Frost","31"
"609","Collatz","30"
"610","Viceity","30"
"611","jalibr33z3","30"
"612","noteam3","30"
"613","scp10000say","30"
"614","Sieberrsec","30"
"615","ChronoSiphon","30"
"616","VJ","30"
"617","Bluehats2","30"
"618","asdohuav2q","30"
"619","Dread Pirate","30"
"620","Wishing 4 Ganyu","30"
"621","New_safe","28"
"622","12asd","28"
"623","jay","28"
"624","12","28"
"625","Alice2","27"
"626","South Cyber","26"
"627","hmmm","26"
"628","taurus2","26"
"629","XxS6907","25"
"630","jpldcarvalho","25"
"631","NoTeam","25"
"632","everything is made up and the points dont matter","25"
"633","b4d_b0ys","25"
"634","Brotzeit","25"
"635","poll","25"
"636","ByteForc3","25"
"637","qsdfqsdf","25"
"638","m3g4","25"
"639","404 Not Found","25"
"640","lzi11760","25"
"641","hula kelo","25"
"642","W0!v3r!n3","25"
"643","Roadtonowhere","25"
"644","sudoers.txt","24"
"645","watkorn","24"
"646","x-f0rc3","24"
"647","zly","24"
"648","brokenrecord","24"
"649","sizzlechest","23"
"650","TeLaatBegonnen","23"
"651","readonly","22"
"652","de","22"
"653","illtry","22"
"654","vano.smitt74@gmail.com","21"
"655","sddfs","21"
"656","Kzeno","21"
"657","hsawant11235","20"
"658","new_noobs","20"
"659","{NewNoob}","20"
"660","d34db34t","20"
"661","blabla","20"
"662","Gr00t","20"
"663","Del","20"
"664","uklizecka","20"
"665","dalseung","20"
"666","DA WARUDO","20"
"667","df","20"
"668","sadfsadf","20"
"669","n00b_3lli0t","20"
"670","whyme","20"
"671","cocoa","20"
"672","9hlogkfhjcgf","20"
"673","AAAAAAAAAAAAAAAAAAAAA","20"
"674","Toyo","20"
"675","cyberpi","20"
"676","Hana","20"
"677","abraham lincon","19"
"678","Pratices","19"
"679","mgt13792","17"
"680","hehenice","16"
"681","AUWO","16"
"682","ikons","16"
"683","Bytersec_Squad","15"
"684","javascripters","15"
"685","All Your Flags","15"
"686","UnAnonymous","15"
"687","hikalu","15"
"688","oscuro6879","15"
"689","test1111","15"
"690","dsaad","15"
"691","dvsvdsza","15"
"692","Francesca","15"
"693","tarshell","15"
"694","Team123","15"
"695","ddddhm","15"
"696","Lopes UP!","14"
"697","z3r0","14"
"698","hunter","13"
"699","TN4K3TW4R3","13"
"700","legends","13"
"701","testko123","13"
"702","uzivatel","13"
"703","qqq","13"
"704","admin123","11"
"705","n00bi3","10"
"706","T2Phage","10"
"707","what_is_ctf","10"
"708","Phantom_Troupe","10"
"709","Mongoose","10"
"710","nissa1900","10"
"711","sadasdas","10"
"712","team9685","10"
"713","Sphead","10"
"714","2747427107@qq.com","10"
"715","w0w","10"
"716","TEAM #1","10"
"717","CTF4fun","10"
"718","Fffff","10"
"719","Hobbes","10"
"720","zenozama","10"
"721","tdsa","10"
"722","involute","10"
"723","soviet","10"
"724","coldknot","10"
"725","pikapika","10"
"726","honey beam","10"
"727","OneBeerToRuleThemAll","10"
"728","allofthecheese","10"
"729","xanopal327@nowdigit.com","10"
"730","orion99","10"
"731","ragnarok","10"
"732","qqqqqqq","10"
"733","sdfsafsadf2","10"
"734","sdssd","10"
"735","WeWIn","10"
"736","Grammer","10"
"737","ubiloavtobusom","10"
"738","rohj0ci0@yopmail.com_","10"
"739","qwerty","10"
"740","ctfisf","10"
"741","fsgxsdgs","10"
"742","Skynet","10"
"743","gsgsdg","10"
"744","unapt28","10"
"745","lander","10"
"746","hjy5555","10"
"747","LucynSec","10"
"748","SillyRabbit","10"
"749","K41ki","10"
"750","peter_gorovych","10"
"751","ttttqqqqllll","10"
"752","2","10"
"753","yoshi51","10"
"754","shenanigans","9"
"755","haja","9"
"756","kana","9"
"757","zabe hh","9"
"758","shng@worldwide","9"
"759","asdfasdf","9"
"760","Superteam","8"
"761","system00","8"
"762","slogo","8"
"763","popko","8"
"764","Devil","7"
"765","32","7"
"766","1222222222222222222222","6"
"767","prashanth","6"
"768","DarkSideBE","5"
"769","Team CRACKERS","5"
"770","orion98","5"
"771","jeanvivine","5"
"772","desaidhruvil1213@gmail.com","5"
"773","monume","5"
"774","testooi","5"
"775","noteam1","5"
"776","noteam2","5"
"777","Gorilla Grotto","5"
"778","Fffffxd","5"
"779","CookkiEOverflow","5"
"780","this_is_0x49","5"
"781","alpackers","5"
"782","EverSec","5"
"783","LaJauria","5"
"784","122222222","5"
"785","PinkHatties","5"
"786","DCM","5"
"787","leets","5"
"788","ohnoman","5"
"789","YOLOCARBONARADUSODIUM","5"
"790","crossfeet","5"
"791","Ky_Dong_Day_Song","5"
"792","The spokesperson of McDonald's","5"
"793","one_member_team","5"
"794","seadeef","5"
"795","b","5"
"796","tutututouzhutou","5"
"797","ev3r","5"
"798","racontepatavied","5"
"799","oddo","5"
"800","dddddranzer","5"
"801","k","5"
"802","q","5"
"803","WePn","5"
"804","dfgtyhui","4"
"805","abcd","4"
"806","uvi71025","4"
"807","Devid","4"
"808","hintfarmer","4"
"809","hssec","4"
"810","Koushik_Team","3"
"811","Hinter","3"
"812","latecomers","3"
"813","xros","3"
"814","halfmindz","3"
"815","ghghgjhg","3"
"816","ad","3"
"817","TestUser","2"
"818","qkfdhlqjf","2"
"819","nezzart","1"
"820","MK","1"
"821","jkteam","1"
"822","Team Names","1"
"823","askorea","1"
"824","CBCH","1"
"825","alpa","0"
"826","lalala","0"
"827","hxd","0"
"828","pikachu","0"
"829","7wak@hh.com","0"
"830","ska","0"
