t,x,y
0.000,2.873,-2.057
0.033,3.296,-2.065
0.067,3.589,-1.999
0.100,3.990,-2.071
0.133,4.498,-2.038
0.167,4.950,-2.043
0.200,5.373,-2.051
0.233,5.885,-2.049
0.267,6.397,-2.046
0.300,6.812,-1.995
0.333,7.175,-2.011
0.367,7.661,-2.041
0.400,8.014,-1.968
0.433,8.281,-1.935
0.467,8.625,-2.044
0.500,9.015,-2.026
0.533,9.397,-1.949
0.567,9.916,-2.006
0.600,10.34,-2.014
0.633,10.79,-2.019
0.700,11.72,-1.995
0.767,12.87,-1.734
0.833,12.39,-1.792
0.900,13.54,-1.591
0.933,14.20,-1.570
0.967,14.79,-1.467
1.000,15.28,-1.498
1.033,15.78,-1.466
1.067,16.36,-1.456
1.100,17.28,-1.402
1.133,17.88,-1.329
1.167,18.33,-1.304
1.200,18.77,-1.279
1.233,19.17,-1.351
1.267,19.53,-1.307
1.300,20.33,-1.420
1.333,20.81,-1.451
1.367,21.53,-1.634
1.400,21.84,-1.716

