,mass A,,
t,x,y,
0.000,0.159,1.712
0.033,0.318,1.712
0.067,0.449,1.758
0.100,0.842,1.737
0.133,1.207,1.763
0.167,1.469,1.696
0.200,1.440,1.584
0.233,1.844,1.760
0.267,2.078,1.740
0.300,2.547,1.859
0.333,3.258,1.837
0.367,3.698,1.844
0.400,4.232,1.907
0.433,4.840,1.791
0.467,5.597,1.637
0.500,6.046,1.523
0.533,6.890,1.865
0.567,7.704,1.776
0.600,8.584,1.791
0.633,9.418,1.936
0.667,10.19,1.698
0.700,10.88,1.723
0.733,11.83,1.877
0.767,12.61,1.798
0.800,13.48,1.775
0.833,14.23,1.902
0.867,14.83,1.749
0.900,15.70,1.885
0.933,16.18,1.723
0.967,16.94,1.888
1.000,18.19,1.966
1.033,19.16,1.717
1.067,19.54,1.781
1.100,20.02,2.097
