t,x,y
0.000,0.531,1.481
0.033,0.780,1.549
0.067,0.907,1.623
0.100,0.907,1.623
0.133,0.907,1.623
0.167,1.029,1.616
0.200,1.069,1.614
0.233,1.191,1.607
0.267,1.431,1.512
0.300,1.517,1.589
0.333,1.594,1.503
0.367,1.594,1.503
0.400,1.840,1.531
0.433,2.250,1.549
0.467,2.460,1.659
0.500,2.620,1.610
0.533,2.901,1.512
0.567,3.269,1.533
0.600,3.549,1.436
0.633,3.877,1.458
0.667,4.164,1.483
0.700,4.655,1.497
0.733,4.938,1.440
0.767,5.141,1.429
0.800,5.871,1.347
0.833,6.127,1.537
0.866,6.649,1.386
0.900,6.812,1.377
0.933,7.219,1.354
0.966,7.592,1.456
1.000,8.245,1.460
1.033,8.734,1.433
1.066,9.057,1.375
1.100,9.387,1.438
1.133,9.916,1.408
1.166,10.36,1.302
1.200,11.09,1.262
1.233,11.18,1.379
1.266,11.75,1.347
1.300,12.07,1.167
1.333,12.68,1.255
1.366,13.58,1.205
1.400,14.28,1.289
1.433,14.40,1.282
1.466,15.14,1.323
1.500,15.54,1.300
1.533,16.15,1.185
1.566,16.68,1.237
1.600,17.41,1.115
1.633,18.15,1.155
1.666,18.64,1.250
1.700,19.17,1.221
1.733,19.90,1.180
1.766,20.48,1.189
1.800,20.92,1.083
1.833,21.61,1.004
1.866,22.14,1.015
1.900,22.67,0.986
1.933,23.35,1.519

